seed	variant	clk_h_MHz	iters	overuse
3	base	104.22	20	0
3	outreg	85.16	16	0
1	outreg	82.29	30	0
1	base	114.81	17	0
2	outreg	83.11	16	0
2	base	120.19	12	0
4	base	111.54	15	0
4	outreg	81.49	20	0
5	outreg	83.32	10	0
5	base	117.44	22	0
6	outreg	82.90	10	0
6	base	117.86	10	0
1	noabs	112.42	38	0
2	noabs	137.49	54	0
3	noabs	121.65	12	0
4	noabs	139.24	25	0
5	noabs	114.74	59	0
6	noabs	112.18	48	0
7	noabs	127.71	29	0
8	noabs	136.86	16	0
9	noabs	120.99	14	0
10	noabs	156.62	63	0
11	noabs	160.93	12	0
1	e2	137.23	32	0
2	e2	130.01	100	0
3	e2	140.41	24	0
4	e2	134.19	36	0
5	e2	132.59	21	0
1	e2nb	155.84	24	0
2	e2nb	158.23	20	0
3	e2nb	182.98	15	0
4	e2nb	162.07	18	0
5	e2nb	153.85	13	0
1	e2nbfix	180.47	14	0
2	e2nbfix	177.94	42	0
3	e2nbfix	166.81	25	0
4	e2nbfix	149.28	22	0
5	e2nbfix	154.56	109	0
1	e2nbfix_v15	197.43	40	0
2	e2nbfix_v15	145.14	60	0
3	e2nbfix_v15	152.44	9	0
4	e2nbfix_v15	174.98	20	0
5	e2nbfix_v15	155.79	7	0
1	2miner	111.61	31	3034
1	throughput3	132.71	12	0
2	throughput3	121.95	19	0
3	throughput3	143.88	8	0
1	throughput3_yb0	107.70	2	96531
1	throughput3_yb20	118.41	103	0
1	throughput3_cols7_yb40	134.86	49	0
2	throughput3_cols7_yb40	135.96	37	0
3	throughput3_cols7_yb40	129.20	600	82
3	throughput3_cong_r1_s05	139.66	35	0
1	throughput3_cong_r1_s05	129.12	10	0
1	premixv2_afa4b22	157.11	17	0
2	premixv2_afa4b22	168.63	32	0
3	premixv2_afa4b22	157.48	24	0
4	premixv2_afa4b22	122.59	42	0
5	premixv2_afa4b22	133.51	15	0
1	freq158.33	197.43	40	0
2	freq158.33	145.14	60	0
3	freq158.33	152.44	9	0
4	freq158.33	174.98	20	0
5	freq158.33	155.79	7	0
6	seedhunt158	148.04	13	0
7	seedhunt158	147.38	18	0
8	seedhunt158	176.68	9	0
9	seedhunt158b	UNCONVERGED	18	541
10	seedhunt158b	169.49	20	0
11	hunt200	UNCONVERGED	6	1496
12	hunt200	144.82	15	0
13	hunt200	147.15	11	0
14	hunt200	170.30	18	0
